"Image Banners","Image Banners"
"Action","Action"
"Add Banner","Add Banner"
"Add Magazine","Add Magazine"
"Alt text","Alt text"
"An error occurred while updating the banners.","An error occurred while updating the banners."
"An error occurred while updating the magazines.","An error occurred while updating the magazines."
"Are you sure?","Are you sure?"
"Banner was saved","Banner was saved"
"Banner was successfully deleted.","Banner was successfully deleted."
"Banner was successfully saved","Banner was successfully saved"
"Banner","Banner"
"Banners","Banners"
"CSV","CSV"
"Change status","Change status"
"Could not find banner to delete.","Could not find banner to delete."
"Could not find magazine to delete.","Could not find magazine to delete."
"Created at","Created at"
"Delete Banner","Delete Banner"
"Delete Magazine","Delete Magazine"
"Delete","Delete"
"Disabled","Disabled"
"Edit Banner '%s'","Edit Banner '%s'"
"Edit Magazine '%s'","Edit Magazine '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving banner","Error saving banner"
"Error saving magazine","Error saving magazine"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image Magazine","Image Magazine"
"Image","Image"
"Link","Link"
"Magazine was saved","Magazine was saved"
"Magazine was successfully deleted.","Magazine was successfully deleted."
"Magazine was successfully saved","Magazine was successfully saved"
"Magazine","Magazine"
"Magazines","Magazines"
"Name","Name"
"No","No"
"None","None"
"Please select banners to delete.","Please select banners to delete."
"Please select banners.","Please select banners."
"Please select magazines to delete.","Please select magazines to delete."
"Please select magazines.","Please select magazines."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner","Save Banner"
"Save Magazine","Save Magazine"
"Status","Status"
"Store views","Store views"
"The banners has been deleted.","The banners has been deleted."
"The magazines has been deleted.","The magazines has been deleted."
"There was a problem saving the banner.","There was a problem saving the banner."
"There was a problem saving the magazine.","There was a problem saving the magazine."
"There was an error deleting banner.","There was an error deleting banner."
"There was an error deleting banners.","There was an error deleting banners."
"There was an error deleting magazine.","There was an error deleting magazine."
"There was an error deleting magazines.","There was an error deleting magazines."
"There was an error updating banners.","There was an error updating banners."
"There was an error updating magazines.","There was an error updating magazines."
"This banner no longer exists.","This banner no longer exists."
"This magazine no longer exists.","This magazine no longer exists."
"Total of %d banners were successfully deleted.","Total of %d banners were successfully deleted."
"Total of %d banners were successfully updated.","Total of %d banners were successfully updated."
"Total of %d magazines were successfully deleted.","Total of %d magazines were successfully deleted."
"Total of %d magazines were successfully updated.","Total of %d magazines were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find banner to save.","Unable to find banner to save."
"Unable to find magazine to save.","Unable to find magazine to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"link","Link"
"Magazine image size must be 140x99 in .png with transparency","Magazine image size must be 140x99 pixels in .png with transparency"
